Data;Hora;Precipitacao;Temperatura;Temp_Max;Temp_Min;Umidade;Vento;Unnamed: 8;Cidade;DataHora;Ano;MesNumero;Mes;Dia;Hora_Numero;Estacao;Amplitude;Periodo
2025-01-01;0000;0,0;24,2;24,3;24,0;;1,9;;Forte de Copacabana;2025-01-01 00:00:00;2025;1;Janeiro;1;0;Verão;0,3000000000000007;Madrugada
2025-01-01;0100;0,0;24,0;24,2;23,9;;1,6;;Forte de Copacabana;2025-01-01 01:00:00;2025;1;Janeiro;1;1;Verão;0,3000000000000007;Madrugada
2025-01-01;0200;0,0;23,8;24,0;23,7;;1,8;;Forte de Copacabana;2025-01-01 02:00:00;2025;1;Janeiro;1;2;Verão;0,3000000000000007;Madrugada
2025-01-01;0300;0,0;23,5;23,8;23,5;;1,1;;Forte de Copacabana;2025-01-01 03:00:00;2025;1;Janeiro;1;3;Verão;0,3000000000000007;Madrugada
2025-01-01;0400;0,0;23,5;23,6;23,4;;0,2;;Forte de Copacabana;2025-01-01 04:00:00;2025;1;Janeiro;1;4;Verão;0,20000000000000284;Madrugada
2025-01-01;0500;0,0;23,4;23,6;23,4;;1,4;;Forte de Copacabana;2025-01-01 05:00:00;2025;1;Janeiro;1;5;Verão;0,20000000000000284;Madrugada
2025-01-01;0600;0,0;23,5;23,5;23,4;;0,8;;Forte de Copacabana;2025-01-01 06:00:00;2025;1;Janeiro;1;6;Verão;0,10000000000000142;Manhã
2025-01-01;0700;0,0;23,1;23,5;23,1;;1,3;;Forte de Copacabana;2025-01-01 07:00:00;2025;1;Janeiro;1;7;Verão;0,3999999999999986;Manhã
2025-01-01;0800;0,0;22,7;23,1;22,6;;1,4;;Forte de Copacabana;2025-01-01 08:00:00;2025;1;Janeiro;1;8;Verão;0,5;Manhã
2025-01-01;0900;0,0;22,9;23,0;22,6;;0,9;;Forte de Copacabana;2025-01-01 09:00:00;2025;1;Janeiro;1;9;Verão;0,3999999999999986;Manhã
2025-01-01;1000;0,0;23,3;23,6;22,9;;1,5;;Forte de Copacabana;2025-01-01 10:00:00;2025;1;Janeiro;1;10;Verão;0,7000000000000028;Manhã
2025-01-01;1100;0,0;25,5;25,6;23,1;;1,6;;Forte de Copacabana;2025-01-01 11:00:00;2025;1;Janeiro;1;11;Verão;2,5;Manhã
2025-01-01;1200;0,0;25,8;26,8;25,3;;2,7;;Forte de Copacabana;2025-01-01 12:00:00;2025;1;Janeiro;1;12;Verão;1,5;Tarde
2025-01-01;1300;0,0;28,3;28,8;25,7;;3,1;;Forte de Copacabana;2025-01-01 13:00:00;2025;1;Janeiro;1;13;Verão;3,1000000000000014;Tarde
2025-01-01;1400;0,0;27,9;28,8;26,9;;2,6;;Forte de Copacabana;2025-01-01 14:00:00;2025;1;Janeiro;1;14;Verão;1,9000000000000021;Tarde
2025-01-01;1500;0,0;27,0;28,1;26,7;;2,2;;Forte de Copacabana;2025-01-01 15:00:00;2025;1;Janeiro;1;15;Verão;1,4000000000000021;Tarde
2025-01-01;1600;0,0;26,9;28,4;26,9;;3,5;;Forte de Copacabana;2025-01-01 16:00:00;2025;1;Janeiro;1;16;Verão;1,5;Tarde
2025-01-01;1700;0,0;27,3;27,8;26,8;;3,2;;Forte de Copacabana;2025-01-01 17:00:00;2025;1;Janeiro;1;17;Verão;1,0;Tarde
2025-01-01;1800;0,0;26,8;27,6;26,2;;3,2;;Forte de Copacabana;2025-01-01 18:00:00;2025;1;Janeiro;1;18;Verão;1,4000000000000021;Noite
2025-01-01;1900;0,0;25,7;26,9;25,4;;2,3;;Forte de Copacabana;2025-01-01 19:00:00;2025;1;Janeiro;1;19;Verão;1,5;Noite
2025-01-01;2000;0,0;25,1;25,8;25,0;;1,6;;Forte de Copacabana;2025-01-01 20:00:00;2025;1;Janeiro;1;20;Verão;0,8000000000000007;Noite
2025-01-01;2100;0,0;24,0;25,3;24,0;;3,5;;Forte de Copacabana;2025-01-01 21:00:00;2025;1;Janeiro;1;21;Verão;1,3000000000000007;Noite
2025-01-01;2200;0,0;23,5;24,5;23,5;;2,5;;Forte de Copacabana;2025-01-01 22:00:00;2025;1;Janeiro;1;22;Verão;1,0;Noite
2025-01-01;2300;0,0;23,8;23,8;23,3;;1,1;;Forte de Copacabana;2025-01-01 23:00:00;2025;1;Janeiro;1;23;Verão;0,5;Noite
2025-01-02;0000;0,0;24,9;25,1;23,6;;1,4;;Forte de Copacabana;2025-01-02 00:00:00;2025;1;Janeiro;2;0;Verão;1,5;Madrugada
2025-01-02;0100;0,0;24,5;24,9;24,4;;1,4;;Forte de Copacabana;2025-01-02 01:00:00;2025;1;Janeiro;2;1;Verão;0,5;Madrugada
2025-01-02;0200;0,0;23,2;24,6;23,2;;1,0;;Forte de Copacabana;2025-01-02 02:00:00;2025;1;Janeiro;2;2;Verão;1,4000000000000021;Madrugada
2025-01-02;0300;0,0;24,4;24,4;23,1;;1,0;;Forte de Copacabana;2025-01-02 03:00:00;2025;1;Janeiro;2;3;Verão;1,2999999999999972;Madrugada
2025-01-02;0400;0,0;24,2;24,8;24,2;;0,7;;Forte de Copacabana;2025-01-02 04:00:00;2025;1;Janeiro;2;4;Verão;0,6000000000000014;Madrugada
2025-01-02;0500;0,0;23,6;24,3;23,5;;1,3;;Forte de Copacabana;2025-01-02 05:00:00;2025;1;Janeiro;2;5;Verão;0,8000000000000007;Madrugada
2025-01-02;0600;0,0;23,8;23,8;23,1;;1,0;;Forte de Copacabana;2025-01-02 06:00:00;2025;1;Janeiro;2;6;Verão;0,6999999999999993;Manhã
2025-01-02;0700;0,0;23,6;24,3;23,6;;0,8;;Forte de Copacabana;2025-01-02 07:00:00;2025;1;Janeiro;2;7;Verão;0,6999999999999993;Manhã
2025-01-02;0800;0,0;23,0;23,8;23,0;;1,1;;Forte de Copacabana;2025-01-02 08:00:00;2025;1;Janeiro;2;8;Verão;0,8000000000000007;Manhã
2025-01-02;0900;0,0;24,7;24,7;22,9;;1,6;;Forte de Copacabana;2025-01-02 09:00:00;2025;1;Janeiro;2;9;Verão;1,8000000000000007;Manhã
2025-01-02;1000;0,0;26,2;26,5;24,7;;1,1;;Forte de Copacabana;2025-01-02 10:00:00;2025;1;Janeiro;2;10;Verão;1,8000000000000007;Manhã
2025-01-02;1100;0,0;25,7;26,3;25,2;;2,6;;Forte de Copacabana;2025-01-02 11:00:00;2025;1;Janeiro;2;11;Verão;1,1000000000000014;Manhã
2025-01-02;1200;0,0;25,8;26,7;24,4;;3,3;;Forte de Copacabana;2025-01-02 12:00:00;2025;1;Janeiro;2;12;Verão;2,3000000000000007;Tarde
2025-01-02;1300;0,0;25,5;25,9;25,1;;3,5;;Forte de Copacabana;2025-01-02 13:00:00;2025;1;Janeiro;2;13;Verão;0,7999999999999972;Tarde
2025-01-02;1400;0,0;25,3;26,0;24,6;;3,9;;Forte de Copacabana;2025-01-02 14:00:00;2025;1;Janeiro;2;14;Verão;1,3999999999999986;Tarde
2025-01-02;1500;0,0;25,9;26,1;24,9;;3,7;;Forte de Copacabana;2025-01-02 15:00:00;2025;1;Janeiro;2;15;Verão;1,2000000000000028;Tarde
2025-01-02;1600;0,0;26,8;26,8;25,4;;2,4;;Forte de Copacabana;2025-01-02 16:00:00;2025;1;Janeiro;2;16;Verão;1,4000000000000021;Tarde
2025-01-02;1700;0,0;26,7;27,3;25,9;;2,2;;Forte de Copacabana;2025-01-02 17:00:00;2025;1;Janeiro;2;17;Verão;1,4000000000000021;Tarde
2025-01-02;1800;0,0;25,8;27,2;25,6;;3,9;;Forte de Copacabana;2025-01-02 18:00:00;2025;1;Janeiro;2;18;Verão;1,5999999999999979;Noite
2025-01-02;1900;0,0;24,9;25,9;24,7;;2,0;;Forte de Copacabana;2025-01-02 19:00:00;2025;1;Janeiro;2;19;Verão;1,1999999999999993;Noite
2025-01-02;2000;0,0;24,2;25,0;24,2;;2,7;;Forte de Copacabana;2025-01-02 20:00:00;2025;1;Janeiro;2;20;Verão;0,8000000000000007;Noite
2025-01-02;2100;0,0;24,5;24,6;24,1;;1,6;;Forte de Copacabana;2025-01-02 21:00:00;2025;1;Janeiro;2;21;Verão;0,5;Noite
2025-01-02;2200;0,0;23,6;24,5;23,6;;1,8;;Forte de Copacabana;2025-01-02 22:00:00;2025;1;Janeiro;2;22;Verão;0,8999999999999986;Noite
2025-01-02;2300;0,0;24,6;26,2;23,6;;1,0;;Forte de Copacabana;2025-01-02 23:00:00;2025;1;Janeiro;2;23;Verão;2,599999999999998;Noite
2025-01-03;0000;0,0;24,8;25,4;24,6;;0,7;;Forte de Copacabana;2025-01-03 00:00:00;2025;1;Janeiro;3;0;Verão;0,7999999999999972;Madrugada
2025-01-03;0100;0,0;24,8;24,8;23,7;;1,0;;Forte de Copacabana;2025-01-03 01:00:00;2025;1;Janeiro;3;1;Verão;1,1000000000000014;Madrugada
2025-01-03;0200;0,2;24,0;25,9;24,0;;3,6;;Forte de Copacabana;2025-01-03 02:00:00;2025;1;Janeiro;3;2;Verão;1,8999999999999986;Madrugada
