Nome: RIO DE JANEIRO - FORTE DE COPACABANA
Codigo Estacao: A652
Latitude: -22.98833333
Longitude: -43.19055555
Altitude: 25.59
Situacao: Pane
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, VELOCIDADE HORARIA(m/s);
2025-01-01;0000;0;24.2;24.3;24;null;1.9;
2025-01-01;0100;0;24;24.2;23.9;null;1.6;
2025-01-01;0200;0;23.8;24;23.7;null;1.8;
2025-01-01;0300;0;23.5;23.8;23.5;null;1.1;
2025-01-01;0400;0;23.5;23.6;23.4;null;.2;
2025-01-01;0500;0;23.4;23.6;23.4;null;1.4;
2025-01-01;0600;0;23.5;23.5;23.4;null;.8;
2025-01-01;0700;0;23.1;23.5;23.1;null;1.3;
2025-01-01;0800;0;22.7;23.1;22.6;null;1.4;
2025-01-01;0900;0;22.9;23;22.6;null;.9;
2025-01-01;1000;0;23.3;23.6;22.9;null;1.5;
2025-01-01;1100;0;25.5;25.6;23.1;null;1.6;
2025-01-01;1200;0;25.8;26.8;25.3;null;2.7;
2025-01-01;1300;0;28.3;28.8;25.7;null;3.1;
2025-01-01;1400;0;27.9;28.8;26.9;null;2.6;
2025-01-01;1500;0;27;28.1;26.7;null;2.2;
2025-01-01;1600;0;26.9;28.4;26.9;null;3.5;
2025-01-01;1700;0;27.3;27.8;26.8;null;3.2;
2025-01-01;1800;0;26.8;27.6;26.2;null;3.2;
2025-01-01;1900;0;25.7;26.9;25.4;null;2.3;
2025-01-01;2000;0;25.1;25.8;25;null;1.6;
2025-01-01;2100;0;24;25.3;24;null;3.5;
2025-01-01;2200;0;23.5;24.5;23.5;null;2.5;
2025-01-01;2300;0;23.8;23.8;23.3;null;1.1;
2025-01-02;0000;0;24.9;25.1;23.6;null;1.4;
2025-01-02;0100;0;24.5;24.9;24.4;null;1.4;
2025-01-02;0200;0;23.2;24.6;23.2;null;1;
2025-01-02;0300;0;24.4;24.4;23.1;null;1;
